Prediksi,Aktual
0.5529605263157895,0.6480263157894737
0.6092105263157895,0.669407894736842
0.63125,0.618421052631579
0.6381578947368421,0.5641447368421053
0.574013157894737,0.5542763157894737
0.5552631578947368,0.5625
0.5523026315789473,0.5953947368421053
0.5726973684210528,0.5838815789473684
0.5710526315789475,0.5641447368421053
0.5789473684210528,0.5197368421052633
0.531578947368421,0.5082236842105263
0.49144736842105263,0.5263157894736843
0.5141447368421053,0.506578947368421
0.4921052631578947,0.5328947368421053
0.5394736842105263,0.5986842105263157
0.5786184210526315,0.631578947368421
0.6072368421052632,0.7796052631578947
0.6263157894736842,0.7203947368421053
0.6220394736842104,0.7598684210526316
0.7246710526315789,0.7549342105263157
0.687171052631579,0.7845394736842106
0.7763157894736843,0.8075657894736843
0.7763157894736843,0.8042763157894737
0.7763157894736843,0.868421052631579
0.8473684210526315,0.7828947368421053
0.8161184210526315,0.7401315789473684
0.7674342105263158,0.8157894736842106
0.7763157894736843,0.8075657894736843
0.7789473684210526,0.7960526315789473
0.8049342105263158,0.7401315789473684
0.7154605263157894,0.763157894736842
0.7246710526315789,0.7269736842105263
0.687171052631579,0.7236842105263157
0.687171052631579,0.6957236842105263
0.6345394736842105,0.7220394736842106
0.6269736842105262,0.7105263157894737
0.6269736842105262,0.7138157894736843
0.6368421052631579,0.6842105263157894
0.618421052631579,0.787828947368421
0.6671052631578946,0.7763157894736843
0.7243421052631579,0.756578947368421
0.7246710526315789,0.75
0.7246710526315789,0.7105263157894737
0.687171052631579,0.743421052631579
0.6605263157894736,0.75
0.6542763157894737,0.7286184210526316
